Country,Birth Rate,Business Tax Rate,log10_CO2 Emissions,Days to Start Business,Ease of Business,log10_Energy Usage,log10_GDP,Health Exp % GDP,log10_Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,log10_Population Total,Population Urban,log10_Tourism Inbound,log10_Tourism Outbound,ISO Code,cluster_label
Afghanistan,0.04118666666666667,37.790851809315406,3.4487512055225324,10.61514740258017,173.8205241143204,3.5838268357024896,9.99932425580489,0.089889730793608,1.4988089014967203,280.4687123202458,0.07966666666666665,0.024170389340565427,0.1784468275292014,59.559999999999995,57.09333333333334,0.3171625726535281,7.423712674525844,0.23846666666666666,7.904058385976678,7.953794049952062,AFG,1
Albania,0.013826666666666664,41.72882648735876,3.817067763941056,20.217653364905676,125.17234957936626,3.4187613700908304,9.992813249497377,0.06086666666666666,2.2704711575297356,363.23605817402455,0.016506666666666666,0.2693333333333333,0.13106666666666666,79.62666666666668,73.4,0.7,6.465060717607595,0.49561333333333335,9.104824521848752,9.042930813507661,ALB,3
Algeria,0.022986666666666666,47.810755919115614,5.041421571066992,25.228466792985856,141.97415567535114,4.5601775305749666,11.116484116501116,0.03989333333333333,2.1621465599270535,444.7278701814917,0.026106666666666663,0.09200000000000001,0.08095999999999999,71.84,68.62666666666665,0.6560000000000001,7.5513585759544855,0.6572,8.464705749130953,8.692669203714932,DZA,3
American Samoa,0.01952974280662163,36.098327269522926,2.615035421046307,16.999999999999996,91.11653241958757,1.4862284146830194,9.082155347695782,0.0844683427355842,3.0936785941013323,128.0,0.009430928462242739,0.52407018616587,0.09636795134438782,73.71056415512628,68.97138288991393,0.12998810841837885,4.75651780501833,0.8784,8.356501069242078,7.794126752931206,ASM,2
Andorra,0.010333333333333335,39.57483306734727,2.7265924777833512,23.19555071149429,73.84985429302732,3.22334236285622,9.498402405768838,0.06543999999999998,3.4167187152482392,90.46212610942321,0.0027333333333333333,0.6139246545231913,0.06901347129763094,79.87141948177162,74.30875846999334,0.7599999999999999,4.893950108840675,0.8899333333333334,8.770406219708807,8.381554560956937,AND,2
Angola,0.047639999999999995,49.569093736513,4.033598017552062,60.319877543782624,169.31499309712942,4.044514320389382,10.715636805635018,0.040053333333333344,2.0548555249170715,279.4426509239781,0.11501333333333333,0.05733333333333334,0.36569333333333337,51.01333333333333,48.18666666666666,0.3173333333333333,7.2559358787252926,0.38220000000000004,8.400734695742246,8.3588426403366,AGO,1
Antigua and Barbuda,0.017906666666666668,43.53299825811267,2.667248525168243,21.769576760332953,93.61644270243731,2.16035979331838,9.042410825778529,0.047933333333333335,2.788583698821829,185.79125754277496,0.00968,0.37333333333333335,0.10918666666666667,77.37333333333332,72.46666666666665,1.3466666666666667,4.929186773769238,0.2767466666666667,8.527553733003975,7.7095698020123,ATG,2
Argentina,0.017373333333333334,51.03894383737918,5.27132558324815,30.22958893433242,135.3768839660865,4.8782581596542895,11.535149544870569,0.08402666666666667,2.770498690804636,429.7349677358544,0.01416,0.332,0.14656,79.03999999999999,71.50666666666666,1.0306666666666666,7.5969564204454665,0.9053199999999999,9.629642532637853,9.71713772398264,ARG,3
Armenia,0.01392,38.212304728659305,3.7665137604651866,15.348426193214282,131.11783809166843,3.4850273352555208,9.841024935414964,0.046253333333333334,2.0251196209903535,520.494979079368,0.018533333333333336,0.17200000000000001,0.18560000000000001,77.21333333333332,70.37333333333332,0.6266666666666667,6.475823896006855,0.6387066666666666,8.475385498002508,8.501602370134714,ARM,3
Aruba,0.011573333333333335,37.01401977021893,3.253982372049387,19.325469389115963,69.44689275528593,2.6563162219266148,9.386196529888979,0.06895834617929658,2.9931164927479554,186.08836436465626,0.012114349718550773,0.45866666666666667,0.10852,77.10666666666665,72.26666666666667,1.1212841329553227,5.001572318647321,0.43937333333333334,9.07118290700355,8.406556407151918,ABW,2
Australia,0.013573333333333333,48.956969244319126,5.552179443796399,3.8642058098609047,38.32063516644033,5.077464522299914,11.95055871112972,0.08768,3.5956150682166577,117.54913650016776,0.004453333333333334,0.7071371823264949,0.07984,83.68,79.06666666666666,0.932,7.326825889269159,0.8837200000000001,10.401857993705663,10.31366172827173,AUS,0
Austria,0.009253333333333332,52.805178741980775,4.8158583822310375,24.70576050384873,51.86977268807482,4.517288684356329,11.537091620646068,0.10806666666666667,3.6521711160372443,180.5641325800821,0.0038000000000000004,0.6639999999999999,0.05560092421699777,82.94666666666667,77.22666666666666,1.2693333333333332,6.919174125113401,0.6583466666666666,10.292212938749417,10.069429113574326,AUT,0
Azerbaijan,0.017306666666666668,39.47809711276128,4.512201471605409,20.288797345980086,123.61190065081982,4.064914796571409,10.463275104339578,0.05698666666666666,2.264473887235804,263.1486014426562,0.03914666666666666,0.2652745742934734,0.18597333333333338,72.70666666666666,66.78666666666666,0.6613333333333334,6.941526648464942,0.5293200000000001,8.579509057965499,8.682818746707907,AZE,3
Bahamas,0.015493333333333333,41.78537104818559,3.0906908645738436,26.839368185523426,92.4552048375905,2.8647397936852044,9.889979921987951,0.06870666666666667,3.1874614903030465,87.02083525875801,0.011933333333333332,0.38266666666666665,0.05468,77.30666666666666,71.13333333333334,0.8266666666666665,5.537313062586504,0.8241600000000001,9.32050448240121,8.624245263563465,BHS,2
Bahrain,0.01756,13.834390350058152,4.337062606461392,10.175051482174494,71.35941213544513,3.9292242223808094,10.31086661333447,0.03926666666666667,2.8278648797143435,37.36628345385393,0.008,0.4746666666666667,0.07696000000000001,76.64000000000001,75.21333333333334,1.1106666666666667,6.022197851296118,0.8847866666666666,9.225109285531621,8.82135902736886,BHR,0
Bangladesh,0.02221333333333334,35.32173547218384,4.774139737225239,42.262061415338856,144.94070359810544,4.463371341585653,10.891963191680315,0.034666666666666665,1.2536573843860823,350.36876600579075,0.04478666666666666,0.024000000000000004,0.14576000000000003,69.16,67.96,0.2813333333333334,8.16749990589051,0.28732,7.912066858069726,8.768352377953283,BGD,3
Barbados,0.013000000000000001,34.43668089836128,3.1367318597343563,17.8607464834444,76.27736974346766,2.682875183432145,9.615549306343704,0.07126666666666666,2.942129703170038,223.51220608085242,0.01428,0.5760000000000001,0.09237333333333335,76.82666666666667,72.04,0.9533333333333334,5.442644193127854,0.3249733333333334,8.981101566776799,8.39105249432138,BRB,2
Belarus,0.010600000000000002,38.23675695437253,4.707993326831837,38.80804330285447,109.8223648404515,4.397627192934995,10.608836273708748,0.05949333333333333,2.398318631168008,237.6066174639587,0.0060533333333333324,0.23215398349094346,0.15461333333333335,76.24000000000001,64.56,0.7360000000000001,6.981577451654413,0.7351866666666667,8.717923784103261,8.821265864698892,BLR,3
Belgium,0.0116,54.20527105439337,5.029742258858903,16.53665461569549,70.54535619420953,4.766053313575829,11.627412934298635,0.10046666666666666,3.6001145605592573,179.04655989839796,0.00404,0.6613333333333333,0.07654619382369074,82.50666666666667,76.93333333333334,0.9986666666666667,7.030199675206643,0.9750399999999999,10.055276308324771,10.280148278971918,BEL,0
Belize,0.025560000000000003,32.29579408344573,2.6491042607621407,43.037895159591955,118.32162833348424,2.2336458237891823,9.104595684928448,0.0514,2.3436563828009556,155.36111008246488,0.016986666666666667,0.13515795040889986,0.13921333333333333,75.83999999999999,69.70666666666666,0.45466666666666666,5.462875008948998,0.45622666666666667,8.366560195341508,7.6312286671452485,BLZ,2
Benin,0.03896,47.87067119450796,3.4864547893544113,30.693597307884612,173.84936387016995,3.475431222556757,9.737507281805575,0.04486666666666666,1.442081481199287,268.81327890563006,0.06848,0.0,0.30567294433998893,59.42666666666666,56.58666666666667,0.39866666666666667,6.946221488979122,0.40993333333333337,8.174709714822008,7.965405026129725,BEN,1
Bermuda,0.01256,33.71497075309954,2.6755416253313573,25.9943777415575,70.23267090046546,2.953814988981715,9.722066195895021,0.06082747137891605,3.5497718951227664,95.41790126738543,0.0028099344192996497,0.7493333333333335,0.07294068349221841,81.72,76.50666666666666,1.082765212039586,4.809847288723334,1.0,8.642272623075547,8.541778405197837,BMU,2
Bhutan,0.02196,40.93006274820455,2.566177908317942,46.7888616205954,153.49386567837135,2.449105472375445,9.056913357660818,0.04612,1.8770626154313226,259.15130904546265,0.03988,0.10000000000000002,0.14206666666666667,65.72,65.34666666666666,0.38174742627575714,5.8337524901915305,0.3279333333333333,7.572661764541029,7.49247989122159,BTN,1
"Bolivia, Plurinational State of",0.027559999999999998,31.8055685670791,4.063080063869872,48.650710519194625,164.1253247255061,3.7559069524826034,10.172779194177846,0.053906666666666665,1.9130707462524612,315.87515633833914,0.03949333333333333,0.16133333333333336,0.13532000000000002,67.81333333333333,63.54666666666666,0.49200000000000005,6.98924606554383,0.6535733333333335,8.520016130552813,8.5235076307838,BOL,3
Bosnia and Herzegovina,0.008626666666666666,32.26000135291435,4.305429085864671,57.45854640899147,145.60754456571027,3.7222237944594188,10.139167562630705,0.09074666666666666,2.511681753186972,389.69208703313853,0.006800000000000001,0.36133333333333334,0.08704217091725666,78.16000000000001,73.10666666666665,0.6306666666666667,6.5867248774404255,0.39244,8.7988877504799,8.324933247677949,BIH,3
Botswana,0.024893333333333337,20.276378453540534,3.5340351100824487,59.06698644779989,129.29000636436948,3.313260208531232,10.034477298420107,0.05266666666666667,2.4808446225311,166.7871627938858,0.04277333333333333,0.06400000000000002,0.14170666666666668,46.73333333333333,46.86666666666667,0.8266666666666665,6.283695116750178,0.5566533333333333,8.131752185079913,8.140441345913034,BWA,1
